               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060882,             0.08981,             0.02302,           0.0053947,            0.060591,           0.0025691,          0.00075698,             0.10339,              12.327,              2.5095,            0.070698,           0.0032558,           0.0032558
                   1,            0.048619,            0.086107,            0.016264,            0.018411,            0.067553,           0.0096343,           0.0021748,            0.092282,              1.6384,             0.05575,            0.040632,           0.0065239,           0.0065239
                   2,            0.048458,            0.082974,             0.01523,            0.010998,            0.030952,           0.0039503,          0.00079834,            0.092229,              1.3865,             0.08065,            0.010501,            0.009726,            0.009726
                   3,            0.044778,            0.084162,            0.014329,            0.047485,            0.051183,             0.02624,           0.0056927,            0.070742,              0.4114,            0.050224,            0.009703,            0.009703,            0.009703
                   4,            0.043164,            0.080536,            0.013342,             0.58108,             0.17297,             0.14665,            0.041239,            0.062148,             0.12701,            0.019163,            0.009703,            0.009703,            0.009703
                   5,            0.040819,            0.079572,            0.012264,             0.65026,             0.21496,             0.22007,             0.09747,             0.04948,            0.099178,             0.01762,            0.009604,            0.009604,            0.009604
                   6,            0.040279,            0.082205,            0.011954,             0.12318,             0.37279,             0.11234,            0.055313,            0.041334,             0.11766,            0.046614,            0.009505,            0.009505,            0.009505
                   7,            0.039901,            0.079102,            0.011204,              0.7568,             0.18104,             0.18668,            0.096864,            0.051177,            0.097107,            0.020519,            0.009406,            0.009406,            0.009406
                   8,            0.038824,            0.079858,            0.010979,             0.59856,             0.38453,             0.37032,             0.19798,            0.038851,            0.062441,            0.012847,            0.009307,            0.009307,            0.009307
                   9,            0.037843,            0.083624,            0.010657,             0.74532,             0.30358,             0.34724,             0.19924,            0.038542,            0.061163,            0.015907,            0.009208,            0.009208,            0.009208
                  10,             0.03725,            0.080001,            0.010113,             0.74484,             0.26953,             0.30969,             0.18819,            0.036019,             0.06534,            0.019495,            0.009109,            0.009109,            0.009109
                  11,            0.037752,            0.078422,            0.010332,             0.72547,             0.32301,             0.38487,             0.21105,              0.0359,            0.068819,            0.013092,             0.00901,             0.00901,             0.00901
                  12,            0.037175,             0.07549,            0.010153,             0.58554,             0.44251,             0.46744,             0.25377,            0.035577,            0.059339,           0.0096514,            0.008911,            0.008911,            0.008911
                  13,            0.036425,            0.079697,            0.010074,             0.57717,               0.341,             0.38072,             0.21785,            0.037838,            0.062894,           0.0095261,            0.008812,            0.008812,            0.008812
                  14,            0.035887,            0.075687,            0.010084,             0.77171,             0.22869,             0.30947,             0.15952,            0.038743,            0.073356,            0.016368,            0.008713,            0.008713,            0.008713
                  15,            0.035826,            0.077609,           0.0096267,              0.6482,             0.40067,             0.42021,             0.22695,            0.037743,            0.063496,            0.010407,            0.008614,            0.008614,            0.008614
                  16,            0.036884,            0.078543,           0.0095004,             0.75314,             0.35641,             0.42283,             0.24556,            0.034064,            0.057052,            0.011158,            0.008515,            0.008515,            0.008515
                  17,            0.036983,            0.078416,           0.0096071,             0.44034,             0.43854,             0.40889,             0.20856,            0.036777,            0.060237,             0.01313,            0.008416,            0.008416,            0.008416
                  18,            0.035123,            0.076137,           0.0090665,             0.58469,             0.47927,             0.48083,             0.28795,            0.032415,            0.060939,            0.011634,            0.008317,            0.008317,            0.008317
                  19,            0.034366,            0.075595,           0.0098328,             0.61872,             0.37555,             0.39444,             0.20629,            0.037265,            0.056509,            0.010769,            0.008218,            0.008218,            0.008218
                  20,            0.035282,            0.074487,            0.008892,             0.55552,             0.45095,             0.45344,             0.25444,            0.034843,            0.058875,            0.012154,            0.008119,            0.008119,            0.008119
                  21,            0.034639,            0.077133,           0.0094813,             0.52639,             0.42117,             0.42203,             0.21766,            0.033527,            0.059877,            0.012607,             0.00802,             0.00802,             0.00802
                  22,            0.034953,            0.077733,           0.0094734,             0.63753,             0.40412,             0.45306,             0.26913,            0.033305,            0.061181,            0.011989,            0.007921,            0.007921,            0.007921
                  23,            0.034343,            0.075955,           0.0088361,             0.38797,             0.43858,             0.41526,             0.24243,            0.033644,            0.059359,            0.014455,            0.007822,            0.007822,            0.007822
                  24,            0.035414,            0.078385,           0.0093171,             0.64637,              0.4277,             0.49774,             0.28043,            0.032595,            0.062117,            0.010577,            0.007723,            0.007723,            0.007723
                  25,            0.034448,            0.075326,           0.0095169,             0.59854,             0.43318,             0.46973,             0.27706,             0.03285,            0.062474,           0.0092459,            0.007624,            0.007624,            0.007624
                  26,            0.033944,            0.075907,           0.0087878,             0.60597,             0.41813,             0.45316,             0.28525,            0.032955,            0.057163,           0.0089783,            0.007525,            0.007525,            0.007525
                  27,            0.033904,            0.074061,           0.0087028,             0.66497,             0.41073,             0.46005,             0.28058,            0.033106,            0.058096,            0.012359,            0.007426,            0.007426,            0.007426
                  28,            0.033331,            0.075956,           0.0086281,             0.56012,             0.46261,             0.48569,              0.2796,            0.033251,            0.055989,           0.0087868,            0.007327,            0.007327,            0.007327
                  29,            0.033393,            0.076416,           0.0090222,             0.52054,              0.4245,             0.42465,             0.26059,            0.033277,            0.060304,            0.011496,            0.007228,            0.007228,            0.007228
                  30,            0.034018,            0.075265,           0.0087885,             0.59135,             0.49706,             0.53091,             0.31531,            0.034034,            0.057179,            0.011089,            0.007129,            0.007129,            0.007129
                  31,            0.033325,            0.075935,           0.0089013,             0.65357,             0.45168,             0.51223,             0.31174,            0.032478,            0.055406,           0.0095026,             0.00703,             0.00703,             0.00703
                  32,            0.032655,            0.074457,           0.0085444,             0.59095,             0.50524,             0.51496,             0.31234,             0.03275,            0.057221,            0.010491,            0.006931,            0.006931,            0.006931
                  33,            0.033024,            0.074327,           0.0085869,             0.71084,             0.38972,             0.48781,             0.27588,            0.037944,            0.059344,             0.01148,            0.006832,            0.006832,            0.006832
                  34,            0.032277,            0.076634,           0.0083493,             0.54109,             0.51521,             0.51989,              0.3152,            0.032264,            0.056645,           0.0089317,            0.006733,            0.006733,            0.006733
                  35,            0.032445,            0.075245,           0.0084197,              0.5928,             0.49841,             0.54105,             0.32407,            0.030273,            0.054199,           0.0079178,            0.006634,            0.006634,            0.006634
                  36,            0.033028,            0.076197,            0.008527,             0.54002,             0.37554,             0.41657,             0.23899,            0.031505,            0.061084,            0.014359,            0.006535,            0.006535,            0.006535
                  37,            0.031989,            0.073078,           0.0081517,             0.71942,             0.32115,             0.34155,             0.20948,            0.035947,            0.060299,            0.015675,            0.006436,            0.006436,            0.006436
                  38,             0.03166,            0.073661,           0.0079656,             0.62512,             0.44407,             0.49406,              0.3038,            0.033109,            0.057017,            0.010219,            0.006337,            0.006337,            0.006337
                  39,            0.031464,             0.07412,           0.0078728,             0.77512,             0.35727,             0.39757,             0.25932,            0.033047,            0.062176,             0.01513,            0.006238,            0.006238,            0.006238
                  40,            0.031994,            0.073056,           0.0082218,             0.61131,             0.50825,             0.51185,             0.31101,             0.03308,            0.057406,            0.008466,            0.006139,            0.006139,            0.006139
