                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0558,                 4.3921,                  2.222,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0811,                 0.0021,                 0.0021
                      1,                 1.7295,                 2.8297,                 2.1301,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.061257,              0.0042574,              0.0042574
                      2,                 1.5755,                 2.3602,                 1.9959,                0.00298,                0.01666,                0.00158,                0.00032,                    nan,                    nan,                    nan,               0.041371,              0.0063713,              0.0063713
                      3,                 1.4927,                 2.1857,                  1.908,                  4e-05,                0.00119,                  2e-05,                      0,                 4.0994,                 6824.8,                 35.533,               0.021442,              0.0084416,              0.0084416
                      4,                 1.4367,                 2.0499,                 1.8531,                0.35943,                0.07682,                0.00902,                0.00231,                 3.1339,                    inf,                 6.4585,               0.009604,               0.009604,               0.009604
                      5,                 1.4155,                 1.9743,                 1.8172,                0.25887,                0.21226,                0.10557,                0.04362,                   2.46,                 10.479,                 4.4007,               0.009604,               0.009604,               0.009604
                      6,                 1.3466,                 1.9021,                 1.7693,                  0.344,                0.11881,                0.08844,                0.05182,                  2.136,                    inf,                 3.2051,               0.009505,               0.009505,               0.009505
                      7,                 1.3447,                 1.8348,                  1.762,                0.37195,                0.14994,                0.13733,                0.07933,                  1.975,                 4.2027,                 2.9373,               0.009406,               0.009406,               0.009406
                      8,                 1.3148,                 1.7652,                  1.733,                0.21588,                0.16963,                0.16202,                0.09331,                 1.9528,                 4.3714,                 2.9059,               0.009307,               0.009307,               0.009307
                      9,                 1.2923,                 1.7079,                 1.7034,                0.69358,                0.12152,                0.17844,                0.11071,                 1.9674,                 5.1825,                 2.7356,               0.009208,               0.009208,               0.009208
