                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7462,                 4.5619,                 4.6451,                 2.0627,                0.01628,                0.16722,                0.00945,                0.00327,                0.01568,                0.14386,                 0.0082,                0.00202,                 2.5587,                 12.152,                    inf,                 3.1284,                 0.0937,                 0.0007,                 0.0007
                      1,                  2.552,                 5.1987,                 4.8041,                 2.7016,                0.01628,                0.16722,                0.00945,                0.00327,                0.01568,                0.14386,                 0.0082,                0.00202,                    nan,                    nan,                    nan,                    nan,               0.086496,              0.0014963,              0.0014963
                      2,                  2.552,                 4.5245,                 3.9608,                 3.0058,                0.01628,                0.16722,                0.00945,                0.00327,                0.01568,                0.14386,                 0.0082,                0.00202,                    nan,                    nan,                    nan,                    nan,               0.079289,              0.0022886,              0.0022886
                      3,                 2.4687,                 4.3661,                 3.7213,                 2.9468,                0.01628,                0.16722,                0.00945,                0.00327,                0.01568,                0.14386,                 0.0082,                0.00202,                    nan,                    nan,                    nan,                    nan,               0.072077,               0.003077,               0.003077
                      4,                 2.3527,                 4.2548,                 3.6754,                 2.8577,                0.01628,                0.16722,                0.00945,                0.00327,                0.01568,                0.14386,                 0.0082,                0.00202,                    nan,                    nan,                    nan,                    nan,               0.064861,              0.0038614,              0.0038614
                      5,                 2.2911,                 4.3403,                 3.5694,                 2.7963,                0.01628,                0.16722,                0.00945,                0.00327,                0.01568,                0.14386,                 0.0082,                0.00202,                    nan,                    nan,                    nan,                    nan,               0.057642,              0.0046418,              0.0046418
                      6,                  2.279,                  4.223,                 3.4821,                 2.7649,                0.01628,                0.16722,                0.00945,                0.00327,                0.01568,                0.14386,                 0.0082,                0.00202,                    nan,                    nan,                    nan,                    nan,               0.050418,              0.0054183,              0.0054183
                      7,                 2.1871,                 4.1883,                 3.4309,                 2.6884,                0.01628,                0.16722,                0.00945,                0.00327,                0.01568,                0.14386,                 0.0082,                0.00202,                    nan,                    nan,                    nan,                    nan,               0.043191,              0.0061909,              0.0061909
                      8,                 2.1547,                 4.2227,                 3.4996,                 2.6888,                0.01628,                0.16722,                0.00945,                0.00327,                0.01568,                0.14386,                 0.0082,                0.00202,                    nan,                    nan,                    nan,                    nan,               0.035959,              0.0069594,              0.0069594
                      9,                 2.1564,                 4.1094,                 3.4508,                 2.6968,                0.01628,                0.16722,                0.00945,                0.00327,                0.01568,                0.14386,                 0.0082,                0.00202,                    nan,                    nan,                    nan,                    nan,               0.028724,               0.007724,               0.007724
