                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1351,                 3.4864,                 2.3582,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070698,              0.0032558,              0.0032558
                      1,                 1.8765,                 2.6868,                  2.266,                0.00206,                0.01629,                0.00072,                0.00018,                 3.7729,                 28.382,                 16.022,               0.040672,              0.0065631,              0.0065631
                      2,                 1.7634,                 2.5106,                 2.1599,                0.06408,                0.15954,                 0.0333,                0.01488,                 2.5989,                  12.68,                 4.2952,               0.010619,              0.0098439,              0.0098439
                      3,                 1.7012,                 2.3615,                 2.1084,                0.68474,                 0.1446,                0.04567,                0.02414,                 2.1224,                 7.5095,                 3.1627,              0.0098812,              0.0098812,              0.0098812
                      4,                 1.6707,                 2.2977,                 2.0821,                 0.5528,                0.29446,                 0.2861,                0.19379,                 1.7187,                 3.3921,                 2.4777,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.6232,                 2.2149,                 2.0487,                0.52461,                0.31912,                0.29172,                0.17435,                 1.7312,                 3.4748,                 2.3581,              0.0098416,              0.0098416,              0.0098416
                      6,                 1.5807,                 2.1702,                  2.002,                0.59547,                0.19252,                0.28363,                0.18113,                 1.6294,                 3.4181,                 2.1758,               0.009802,               0.009802,               0.009802
                      7,                 1.5479,                 2.0836,                  1.968,                0.57622,                0.37435,                0.40642,                0.26243,                 1.4683,                  1.979,                  2.016,              0.0097624,              0.0097624,              0.0097624
                      8,                 1.5063,                  2.012,                 1.9327,                0.69153,                0.22623,                0.33936,                 0.2199,                 1.6658,                 4.2455,                 2.3283,              0.0097228,              0.0097228,              0.0097228
                      9,                 1.5253,                 2.0218,                 1.9425,                0.60428,                0.32867,                0.34999,                0.23758,                 1.6281,                 3.0116,                 2.2876,              0.0096832,              0.0096832,              0.0096832
                     10,                   1.49,                  1.973,                 1.9182,                0.59234,                0.27213,                0.30412,                0.19569,                 1.6114,                 2.5914,                 2.2071,              0.0096436,              0.0096436,              0.0096436
